P#,Country,DRM Pillar,Prior Action,Result Indicator
P500609,Fiji,DRM policies and institutions,"Prior Action #2. To strengthen disaster preparedness, Cabinet has endorsed for tabling to Parliament the National Disaster Risk Management (NDRM) Bill which clarifies roles and responsibilities for disaster risk reduction through improved emergency planning.",Results Indicator #2: Share of population covered by divisional DRM Plans (percent)
P502111,Romania,Not DRM,"PA6. To advance zero-emission urban mobility and modernization of public transport, the Borrower has established measures for the gradual zero-emission renewal of the public transport stock, as evidenced by the enactment of Law no. 155/2023",RI9: Share of zero-emission buses and mini-buses as part of public transportation fleet
P502111,Romania,DRM policies and institutions,"PA1. To improve multi-hazard emergency response, the Borrower has adopted prioritized expansion of its service network, as evidenced by the approval of the National Disaster Risk Reduction Strategy 2024–2035 (Chapter 6.4, action 2) and its Action Plan for the 2024–2035 period, through Government Decision no. 791/2024",RI1. (CRI) People with enhanced resilience to climate risks
P502111,Romania,Sector-specific risk reduction measures,"PA4. To increase resilience to floods, the Borrower has adopted climate risk–informed, prioritized, integrated management of flood risk, as evidenced by the approval of the updated Flood Risk Management Plans for all eleven (11) national river basins and the Danube River on the territory of Romania, through Government Decision no. 886/2023",RI6. Number of people that benefit from investments to reduce flood risk (cumulative)
P502111,Romania,Sector-specific risk reduction measures,"PA5. To reduce multi-hazard risk and improve emergency preparedness in primary and secondary schools, the Borrower has adopted safety measures, such as rehabilitation/reconstruction of schools at risk, through the approval of the multi-year national investment program “Safe and Healthy Schools”, as evidenced by the enactment of the Emergency Ordinance no. 7/2023 approved through Law no. 235/2023, and first aid training, as evidenced by the enactment of Law no. 198/2023","RI7. Share of prioritized high seismic risk class I schools that have been improved for safety, resilience, and energy efficiency
RI8. Share of schools with teachers trained in first aid"
P502111,Romania,Early Warning Systems,"PA3. To ensure early warnings for all, the Borrower has taken steps to expand and modernize multi-hazard early warning systems, as evidenced by the approval of the National Strategy for Climate Change Adaptation 2024-2030 with a 2050 perspective, and its Action Plan for the 2024-2030 period, through Government Decision no. 1010/2024","RI4. Number of people that benefit from improved access to early warning (cumulative)
RI5. The updated general procedures for the national RO-ALERT warning system have been approved by the National Committee for Emergency Situations (NCES)"
P502111,Romania,Emergency Preparedness and Response,"PA2. To enhance multi-hazard emergency preparedness of vulnerable groups, the Borrower has adopted an all-of-society approach to modernize its awareness tools and capacities, as evidenced by the approval of (i) the National Disaster Risk Reduction Strategy 2024–2035 (Chapter 6.1, action 5) and its Action Plan, through Government Decision no. 791/2024; and (ii) the Strategy for Strengthening the Role of the Department for Emergency Situations within the National Emergency Management System (2024–2030), and its Action Plan, through Government Decision no. 776/2024","RI2. Number of people with disabilities with completed self-preparedness plans for emergencies (cumulative)
RI3. Share of intervention units nationwide with first responders equipped with the knowledge on how to identify GBV cases and employ effective referral mechanisms to link survivors with essential services "
P504373,Marshall Islands,Not DRM,"Prior Action #1: To strengthen fiscal oversight, the Recipient has enacted the Public Financial Management Act, 2023, that facilitates implementation of a new electronic public financial management information system.",Results Indicator 1. The percentage of public sector budget preparation captured in Financial Management Information System (FMIS).
P504373,Marshall Islands,Not DRM,"Prior Action #2. To strengthen fiscal sustainability by improving the efficiency of public spending, the Recipient has enacted the Procurement Code Act, 2023, that introduces a modernized legal framework to facilitate the adoption of electronic procurement practices and a uniform procurement process across all ministries and donor funds.",Results Indicator 2. Annual public procurement spending processed via e-procurement system.
P504373,Marshall Islands,DRM policies and institutions,"Prior Action #3. To improve proactive local-level disaster risk management, the Recipient has enacted the Disaster Risk Management Act, 2023, that: (i) requires local government disaster committees to prepare a local government disaster plan to clarify implementation at the subnational (atoll) level; and (ii) recognizes women’s involvement as essential in providing effective disaster management.","Results Indicator 3. The percentage of atolls with approved disaster plans including climate adaptation measures.
Results Indicator 4. The percentage of local government disaster committees comprising over 45 percent women"
P504373,Marshall Islands,Sector-specific risk reduction measures,"Prior Action #4. To improve climate change adaptation, the Cabinet has adopted the Sea Level Rise Adaptation Policy as the basis for managing the response to sea level rise over the coming decades, including, inter alia, requiring long-term planning on coastal protection works.",Results Indicator 5. Number of people with enhanced resilience to climate risks.
P504373,Marshall Islands,Sector-specific risk reduction measures,"Prior Action #5. To improve the quality, safety and resilience of buildings, the Cabinet has submitted to Parliament the National Building Act 2024 Bill, that authorizes Cabinet to regulate minimum standards for the design, construction quality, and climate and disaster resilience of all buildings and structures in RMI.",Results Indicator 6. The percentage of new national government buildings with a building permit issued.
P507116,Zambia,Not DRM,"Prior Action #2: To strengthen fiscal risk management of sovereign credit, the Recipient has, through its Ministry of Finance and National Planning, issued the Public Debt Management (General) Regulations, 2024, which establish a credit risk assessment framework for loans raised by a public body and guarantees issued by the Recipient",Results Indicator #2:Percentage of loans by public bodies raising funds from outside the Republic that have been adequately credit risk assessed
P507116,Zambia,Not DRM,"Prior Action #3: To mobilize non-debt financing and generate carbon revenues to support resilient climate mitigation and adaptation investments, the Recipient has, through its Cabinet, submitted to Parliament the Green Economy and Climate Change Bill, 2024, which regulates the participation of project developers in carbon markets including inter alia the issuance of certificates of authorization to trade in carbon markets and registration of verifiers",Results Indicator #3:Number of carbon projects following international quality standards approved under the provisions of the Climate Change Bill
P507116,Zambia,Not DRM,"Prior Action #5: To promote renewable energy generation and private investments in the sector, the Recipient has, through its Ministry of Energy, issued (i) Electricity (Open Access) Regulations, which grant independent power producers open access to the transmission and distribution system; and ii) Electricity (Net Metering) Regulations, which permit consumers to generate renewable energy and receive credits for the surplus electricity fed back into the grid","5.1: Additional private sector investments in nonhydro renewable energy (cumulative)(US$)
5.2: Additional installed capacity (MW) in non-hydro renewable energy (cumulative)"
P507116,Zambia,DRM policies and institutions,"Prior Action #6: To improve disaster risk reduction, preparedness, and response, the Recipient has, through its Cabinet, approved the Disaster Risk Management Policy, 2024, which inter alia establishes a multi-hazard early warning system tailored to priority sectors",Results Indicator #6: Number of sectors with tailor-made early warnings to activate their preparedness and response plans
P507116,Zambia,Public investment at the central level,"Prior Action #4: To strengthen private sector participation in the development of a more resilient economy, the Recipient has, through its Ministry of Finance and National Planning, issued the Public-Private Partnership (General) Regulations, 2024, which inter alia prescribe project selection, procurement, and implementation rules including the incorporation of climate change practices in projects to ensure climate resilience and adaptability of infrastructure",Results Indicator #4:Number of PPP schemes tendered in enabling sectors
P507116,Zambia,Sector-specific risk reduction measures,"Prior Action #8: To secure climate-resilient water storage and supply, the Recipient has, through its Ministry of Water Development and Sanitation, issued the Water Resources Management (Water Storage and Harvesting) Regulations, 2024, which inter alia (i) set out procedures for the construction, maintenance and operation of water harvesting and storage infrastructure; and (ii) embed strategic water emergency interventions including drought response planning, and water supply and demand management in the implementation water harvesting and storage",Results Indicator #8:Number of commercial utilities with operation and maintenance cost coverage ratio equal to or higher than 85 percent
P507116,Zambia,Adaptive Social Protection,"Prior Action #7: To strengthen the climate resilience of the social protection system, the Recipient has, through its Cabinet, approved the 2024 National Social Protection Policy, which inter alia mainstreams resilience and preparedness of poor and vulnerable households, especially women, against the impacts of climate shocks","Results Indicator #7:Beneficiary households of social cash transfer program (Number)
Of which female-headedhouseholds receivedlivelihood supportthrough climate-smartproductive inclusioninterventions"
P507116,Zambia,Disaster Risk Financing strategies and instruments,"Prior Action #1: To enhance fiscal resilience to disasters and other shocks and manage mineral revenue volatility, the Recipient, through its Ministry of Finance and National Planning, has submitted to Parliament a National Budget Policy Statement which inter alia provides that revenues derived from mineral royalty above the budgeted projections shall be channeled to a stabilization fund",Results Indicator #1: Percentage of mineral royalties collected deposited in a stabilization fund (cumulative)
